user_id,anime_id,rating
1,20,-1
1,24,-1
1,79,-1
1,226,-1
1,241,-1
1,355,-1
1,356,-1
1,442,-1
1,487,-1
1,846,-1
1,936,-1
1,1546,-1
1,1692,-1
1,1836,-1
1,2001,-1
1,2025,-1
1,2144,-1
3,20,8
3,154,6
3,170,9
3,199,10
3,225,9
3,341,6
3,430,7
3,527,7
3,552,7
3,813,10
3,1119,7
3,1121,7
3,1122,7
3,1132,8
3,1292,6
3,1313,8
3,1526,7
3,1535,10
3,1564,7
3,1689,8
3,1764,6
3,1943,8
3,2201,7
3,2404,7
4,6,-1
4,72,-1
4,121,-1
4,150,-1
4,166,-1
4,205,-1
4,226,-1
4,857,-1
4,1292,-1
4,1498,-1
4,1535,-1
4,1691,-1
4,2025,-1
5,6,8
5,15,6
5,17,6
5,18,6
5,20,6
5,22,5
5,24,1
5,30,1
5,45,7
5,47,8
5,57,7
5,63,1
5,67,6
5,68,6
5,132,6
5,136,8
5,137,8
5,138,6
5,139,6
5,150,2
5,152,4
5,166,6
5,170,6
5,174,5
5,185,6
5,186,6
5,189,1
5,190,1
5,195,4
5,199,8
5,205,8
5,223,6
5,225,1
5,232,3
5,240,4
5,241,1
5,245,10
5,248,1
5,249,1
5,250,5
5,263,7
5,264,8
5,265,7
5,268,7
5,269,3
5,272,5
5,288,2
5,292,7
5,335,3
5,344,7
5,371,3
5,379,6
5,390,3
5,392,7
5,406,6
5,442,4
5,443,4
5,448,3
5,481,3
5,482,5
5,487,1
5,508,3
5,517,3
5,527,6
5,528,7
5,534,7
5,550,2
5,552,7
5,709,6
5,760,2
5,761,5
5,813,5
5,846,1
5,861,2
5,874,7
5,896,4
5,898,5
5,903,1
5,905,6
5,914,7
5,918,9
5,936,5
5,981,5
5,987,2
5,1117,7
5,1132,5
5,1138,5
5,1195,1
5,1210,4
5,1253,7
5,1254,7
5,1257,7
5,1313,6
5,1469,5
5,1535,4
5,1559,5
5,1564,5
5,1614,5
5,1668,2
5,1669,2
5,1674,5
5,1685,-1
5,1689,7
5,1764,6
5,1840,1
5,1887,3
5,1913,8
5,1956,2
5,2034,3
5,2104,1
5,2116,5
5,2144,1
5,2159,7
5,2236,8
5,2248,5
5,2330,5
5,2363,6
5,2397,7
5,2398,7
5,2400,6
5,2418,9
5,2424,3
5,2472,5
6,20,-1
6,59,-1
6,228,-1
6,317,-1
6,1311,-1
6,1535,-1
6,1594,-1
6,1726,-1
6,1818,-1
7,22,7
7,30,10
7,31,9
7,32,9
7,59,7
7,64,8
7,65,7
7,111,8
7,121,8
7,136,8
7,139,7
7,170,9
7,210,9
7,223,9
7,225,7
7,232,8
7,245,8
7,249,8
7,270,9
7,339,9
7,357,8
7,407,8
7,435,8
7,482,9
7,508,7
7,530,8
7,532,8
7,534,9
7,535,8
7,552,9
7,568,8
7,740,8
7,813,9
7,849,7
7,934,9
7,996,8
7,1138,8
7,1172,8
7,1253,7
7,1254,8
7,1257,7
7,1259,7
7,1313,8
7,1535,9
7,1563,8
7,1575,9
7,1719,7
7,1887,8
7,1889,9
7,2012,8
7,2026,9
7,2116,9
7,2131,8
7,2167,9
7,2213,9
7,2237,6
8,269,9
8,355,9
9,1887,8
10,20,-1
10,1535,-1
11,30,5
11,43,7
11,44,7
11,54,-1
11,59,7
11,61,4
11,104,9
11,120,6
11,121,7
11,122,6
11,143,7
11,149,5
11,164,8
11,177,7
11,199,10
11,202,9
11,232,6
11,243,4
11,249,9
11,270,-1
11,338,10
11,357,7
11,416,10
11,430,6
11,431,8
11,440,10
11,441,9
11,449,6
11,450,7
11,451,6
11,452,9
11,497,7
11,512,5
11,513,9
11,522,7
11,523,8
11,528,7
11,530,7
11,531,7
11,532,7
11,543,6
11,565,6
11,572,7
11,578,10
11,589,9
11,597,7
11,687,4
11,723,7
11,740,7
11,759,8
11,790,8
11,853,7
11,855,6
11,879,7
11,934,8
11,996,7
11,997,7
11,1002,7
11,1032,8
11,1060,8
11,1117,9
11,1118,8
11,1239,7
11,1240,7
11,1709,6
11,1889,8
11,2167,7
11,2313,10
12,223,8
12,225,6
12,302,9
12,392,9
12,813,9
12,853,9
12,877,9
12,1535,10
12,1562,9
12,1575,10
12,2025,9
13,1,-1
13,5,-1
13,6,-1
13,19,-1
13,25,-1
13,30,-1
13,32,-1
13,43,-1
13,47,-1
13,114,-1
13,164,-1
13,198,-1
13,199,-1
13,205,-1
13,227,-1
13,239,-1
13,245,-1
13,270,-1
13,323,-1
13,330,-1
13,339,-1
13,431,-1
13,437,-1
13,486,-1
13,527,-1
13,543,-1
13,552,-1
13,570,-1
13,658,-1
13,777,-1
13,790,-1
13,849,-1
13,875,-1
13,889,-1
13,958,-1
13,974,-1
13,1050,-1
13,1132,-1
13,1192,-1
13,1210,-1
13,1246,-1
13,1292,-1
13,1313,-1
13,1379,-1
13,1519,-1
13,1535,-1
13,1571,-1
13,1774,-1
13,1943,-1
13,1980,-1
13,2001,-1
13,2154,-1
13,2175,-1
13,2236,-1
13,2246,-1
13,2251,-1
13,2385,-1
13,2386,-1
13,2418,-1
14,133,6
14,135,8
14,177,8
14,392,8
14,433,9
14,587,8
14,969,7
14,1195,6
14,1689,9
14,1840,7
14,2129,8
14,2155,6
14,2167,7
14,2336,7
15,2404,9
16,61,8
16,226,-1
16,357,5
16,819,-1
16,1222,9
16,1535,9
16,2167,8
17,6,7
17,19,10
17,30,9
17,32,10
17,43,8
17,47,8
17,66,6
17,114,7
17,121,6
17,164,9
17,199,8
17,205,7
17,226,7
17,227,7
17,228,7
17,245,8
17,256,6
17,268,8
17,323,8
17,339,8
17,376,-1
17,413,1
17,430,6
17,431,8
17,437,9
17,468,8
17,486,9
17,543,7
17,570,8
17,578,9
17,664,5
17,756,-1
17,759,8
17,770,5
17,777,9
17,849,7
17,889,8
17,908,-1
17,932,5
17,934,9
17,949,8
17,1002,8
17,1004,5
17,1033,7
17,1056,5
17,1109,-1
17,1210,8
17,1379,8
17,1530,8
17,1535,10
17,1575,8
17,1593,-1
17,1689,9
17,1852,7
17,1889,10
17,1943,7
17,2001,10
17,2167,9
17,2175,7
17,2236,8
17,2251,9
17,2418,8
17,2476,3
18,64,9
18,65,9
18,199,9
18,317,10
18,431,10
18,523,8
18,687,9
18,853,8
18,877,10
18,1535,10
18,1816,-1
18,2476,7
19,1,10
19,5,9
19,121,8
19,199,9
19,578,10
19,889,8
19,1033,7
19,1519,7
19,1535,5
19,1575,8
19,2236,9
20,193,8
20,243,9
20,249,10
20,325,8
20,819,10
20,853,10
